entities,Intermediate,Negative,Positive,General Opinion
"@CriterionGames, @eurogamer",0.0,0.0,1.0,Positive
@DaMisanthrope,1.0,0.0,0.0,Intermediate
@Destructoid,0.0,0.0,1.0,Positive
@Dreamworks,0.0,0.0,1.0,Positive
@Dvaband,0.0,0.0,1.0,Positive
"@FFGames @OspreyGames @ZweihanderRPG @Pandasaurusgame, @Modiphius @EvilHatOfficial @SteamforgedLtd @IelloUSA",1.0,0.0,0.0,Intermediate
@Farrantula,1.0,0.0,0.0,Intermediate
"@Feargus Urquhart, Microsoft",1.0,0.0,0.0,Intermediate
@Fehnnis https://t.co/NaiKjoGm7e,1.0,0.0,0.0,Intermediate
"@FortePlatform &amp, https://t.co/PDTwoBUeFx",1.0,0.0,0.0,Intermediate
"@GIBiz Game Changers, @Ben",0.0,0.0,1.0,Positive
@GOGcom,0.0,0.0,2.0,Positive
@GWAR,0.0,0.0,1.0,Positive
"@GalaxyBrains, Idiocracy",1.0,0.0,1.0,Intermediate
"@GamesBeat Daily, Eurojank RPG",1.0,0.0,0.0,Intermediate
"@GenvidTech, @Epyllionco",0.0,0.0,1.0,Positive
@Google,0.0,0.0,1.0,Positive
"@IGDA 2022 Inclusive Game Design and Development, Sponsored",0.0,0.0,1.0,Positive
@Improbableio,0.0,0.0,1.0,Positive
@JamCityHQ,0.0,0.0,1.0,Positive
"@JamCityHQ, @Microsoft, https://t.co",1.0,0.0,0.0,Intermediate
"@JamesGunn, Peacemaker",0.0,0.0,1.0,Positive
@JeffGrubb,0.0,0.0,1.0,Positive
@JordanMiddler,0.0,2.0,0.0,Negative
@JulesUrbach &amp,1.0,0.0,0.0,Intermediate
@K_Toyama,0.0,1.0,0.0,Negative
@LifeIsStrange,0.0,0.0,1.0,Positive
"@Lumikai, &amp, The Games Fund",0.0,0.0,1.0,Positive
"@Microsoft, @IGDA",0.0,0.0,1.0,Positive
"@Microsoft, @Twitch",1.0,0.0,0.0,Intermediate
"@Microsoft, @Twitch &, https://t.co",0.0,0.0,1.0,Positive
"@Microsoft, https://t.co/H5ltea2NV1",0.0,0.0,1.0,Positive
"@NVIDIAGTC, https://t.co",0.0,0.0,1.0,Positive
"@Neil_Druckmann, HBO",1.0,0.0,0.0,Intermediate
@Nnedi @naominovik,1.0,0.0,0.0,Intermediate
"@Nnedi, @casey_mcquiston, @JamesSACorey, @cyborgyndroid",0.0,0.0,1.0,Positive
@Official_GDC,0.0,0.0,1.0,Positive
"@Official_GDC, GDC",0.0,0.0,1.0,Positive
@PLAYERUNKNOWN,0.0,0.0,1.0,Positive
"@PPROD, @PLAYERUNKNOWN, Prologue",0.0,0.0,1.0,Positive
"@Perforce &gt;&gt, Sponsored",1.0,0.0,0.0,Intermediate
@Philjimeneznyc,1.0,0.0,0.0,Intermediate
@Polygon,1.0,0.0,0.0,Intermediate
"@RelicGame Special Awards, health &amp",0.0,0.0,1.0,Positive
@Roblox,0.0,0.0,1.0,Positive
"@Roblox, @JamCityHQ, https://t.co/6RS7MRvz37",0.0,0.0,1.0,Positive
"@Roblox, @TheSandboxGame",0.0,0.0,1.0,Positive
@SYFY,1.0,0.0,1.0,Intermediate
@SeaOfThieves,0.0,0.0,2.0,Positive
"@SimayDinc, President &",0.0,0.0,1.0,Positive
"@Sony_Innov_Fund, &amp, https://t.co/XYkAEfIfIG",0.0,0.0,1.0,Positive
"@SpectrumLabsAI, https://t.co/XYkAEfIfIG, GBSummit",0.0,0.0,1.0,Positive
@TakeTwoInterac &,0.0,0.0,1.0,Positive
@TheSandboxGame &amp,1.0,0.0,0.0,Intermediate
@Thrivegamingg,0.0,0.0,1.0,Positive
@VentureBeat &,0.0,0.0,1.0,Positive
@VentureBeat's,1.0,0.0,0.0,Intermediate
"@XRSteph &, https://t.co/XYkAEfIfIG, GBSummit",0.0,0.0,1.0,Positive
"@Xsolla, @JDJIM",0.0,1.0,0.0,Negative
"@Xsolla, https://t.co/URIeunV0pU. #",0.0,0.0,1.0,Positive
@ZoomdTech,1.0,0.0,0.0,Intermediate
@_Sheikah_ @tomphillipsEG,0.0,0.0,1.0,Positive
"@ac7ionman, Bazaar, Behemoth",0.0,0.0,1.0,Positive
@ckunzelman,1.0,0.0,0.0,Intermediate
"@criteriongames, Roundtable &",0.0,0.0,1.0,Positive
@digitalfoundry,3.0,1.0,0.0,Intermediate
"@digitalfoundry, SteelSeries",0.0,0.0,1.0,Positive
@emerge_io,0.0,0.0,1.0,Positive
"@franklez, @joestaten",0.0,0.0,1.0,Positive
@fromsoftware_pr https://t.co/RuzfDRby0O https://t.co/LpcwootzjG,1.0,0.0,0.0,Intermediate
@gamedevdotcom,0.0,1.0,0.0,Negative
"@inonzur, @briandoliveria &",0.0,0.0,1.0,Positive
@jason_wilson,1.0,0.0,0.0,Intermediate
@jeffgrubb,29.0,25.0,30.0,Positive
"@kreyes121, Game Changers",0.0,0.0,1.0,Positive
@krisgraft,0.0,0.0,1.0,Positive
@kylieholloway,1.0,0.0,0.0,Intermediate
"@leonxiaoy @gamedev_india

Congratulations, Game Changers",0.0,0.0,1.0,Positive
"@metajuice, GBSummit",0.0,0.0,1.0,Positive
@mikeavila &,0.0,0.0,1.0,Positive
@ni_ko_lah,1.0,0.0,0.0,Intermediate
"@nvidia, https://t.co/XYkAEfIfIG, GBSummit, https://t.co/5aOZ60EBZ9",0.0,0.0,1.0,Positive
"@playlabsmit, @Rizstanford, https://t.co/XYkAEfIfIG",0.0,0.0,1.0,Positive
@quentusrex,0.0,0.0,1.0,Positive
"@rskelley75 &amp, @JamCityHQ, 2022 &",0.0,0.0,1.0,Positive
"@scully1888, FIFA, Volta",0.0,0.0,1.0,Positive
@skrattybones,6.0,1.0,5.0,Intermediate
"@suda_51, Activision",0.0,0.0,1.0,Positive
"@suda_51, VGC, Grasshopper’s ‘, IPs",0.0,0.0,1.0,Positive
"@thesteveorlando, @katya_zamo, @AxelleCarolyn",1.0,0.0,0.0,Intermediate
"@tomphillipsEG, Eurogamer",0.0,0.0,1.0,Positive
@triminhph,0.0,1.0,0.0,Negative
"@unileverusa's, https://t.co/wH76Zk8Xeq",0.0,0.0,1.0,Positive
"@varjodotcom, CTO, https://t.co/XYkAEfIfIG",0.0,0.0,1.0,Positive
"@vindex &amp, @lightspeedvp, https://t.co",0.0,0.0,1.0,Positive
@wendeeleevo,0.0,0.0,1.0,Positive
@whoisgallifrey,1.0,0.0,0.0,Intermediate
"@xmiramira @ethanredd, @ggrenzen @tisseranddavid @_jobedard, @kreyes121",0.0,1.0,0.0,Negative
A Goofy Movie,0.0,1.0,0.0,Negative
A Memoir Blue,1.0,0.0,0.0,Intermediate
A24,1.0,1.0,1.0,Intermediate
AAA,2.0,0.0,13.0,Positive
"AAA, Embracer",1.0,0.0,0.0,Intermediate
"AAA, Hazelight",0.0,0.0,1.0,Positive
"AAA, Monster Closet, Academy",0.0,0.0,1.0,Positive
"AAA, Timi",2.0,0.0,0.0,Intermediate
"AAA, https://t.co/yi8QZl0nXR",0.0,0.0,1.0,Positive
ABK,1.0,1.0,0.0,Intermediate
ABK Workers Alliance,1.0,1.0,0.0,Intermediate
"ABK Workers Alliance, Activision",0.0,0.0,1.0,Positive
"ABK Workers Alliance, Microsoft",0.0,0.0,1.0,Positive
"ABK, Kotick",1.0,0.0,0.0,Intermediate
ACII,0.0,0.0,1.0,Positive
ADL,0.0,2.0,0.0,Negative
"AEW, WWE",1.0,0.0,0.0,Intermediate
AFK,0.0,0.0,1.0,Positive
"AFK, NewWorld",0.0,1.0,0.0,Negative
"AFK, https://t.co/Q01WniAwvy",1.0,0.0,0.0,Intermediate
AGC,0.0,1.0,0.0,Negative
AGDQ2022,0.0,1.0,0.0,Negative
"AGDQ2022, Prevent Cancer Foundation",0.0,1.0,0.0,Negative
AI,7.0,2.0,5.0,Intermediate
AI Systems Designer,0.0,2.0,0.0,Negative
"AI Weekly, Watson Health, AI",0.0,1.0,0.0,Negative
AI https://t.co/Nva61t9nPf,1.0,0.0,0.0,Intermediate
AI https://t.co/qEOQUtW7SP,0.0,0.0,1.0,Positive
"AI, BPM",1.0,0.0,0.0,Intermediate
"AI, Microsoft",1.0,0.0,0.0,Intermediate
"AI, Nintendo Switch, PlayStation 4, Xbox One",0.0,0.0,1.0,Positive
"AI, OTO",2.0,0.0,0.0,Intermediate
"AI, https://t.co/CSOX24cxOt",0.0,1.0,0.0,Negative
AIAS Hall of Fame,0.0,0.0,1.0,Positive
AKA Warframe’s Space Mom,0.0,1.0,0.0,Negative
AMA,0.0,0.0,1.0,Positive
AMC,0.0,0.0,3.0,Positive
"AMC+, Firebite",0.0,1.0,0.0,Negative
"AMC, Abyss Anime",1.0,0.0,0.0,Intermediate
"AMC, Sentai",2.0,0.0,0.0,Intermediate
AMD,7.0,1.0,8.0,Positive
AMD Radeon RX 6600,1.0,0.0,0.0,Intermediate
AMD Radeon RX 6700,0.0,0.0,1.0,Positive
"AMD Radeon Software, Smart Access Memory",0.0,0.0,1.0,Positive
"AMD, 3D V-Cache",1.0,0.0,0.0,Intermediate
"AMD, CPU",2.0,0.0,1.0,Intermediate
"AMD, DIY",1.0,0.0,0.0,Intermediate
"AMD, DLSS",1.0,0.0,1.0,Intermediate
"AMD, FSR",0.0,0.0,1.0,Positive
"AMD, Intel",1.0,0.0,0.0,Intermediate
"AMD, PlayStation 5",0.0,0.0,1.0,Positive
"AMD, RDNA2",1.0,0.0,0.0,Intermediate
"AMD, Radeon",1.0,0.0,0.0,Intermediate
"AMD, Radeon GPU's",0.0,1.0,0.0,Negative
"AMD, Radeon RX 6000",0.0,1.0,0.0,Negative
"AMD, Radeon RX 6000M",0.0,0.0,1.0,Positive
"AMD, Radeon RX 6000S, https://t.co/Nk3rb1LhIl",1.0,0.0,0.0,Intermediate
"AMD, Radeon RX 6600 XT",0.0,0.0,1.0,Positive
"AMD, Radeon RX 6600, Far Cry 6",0.0,1.0,0.0,Negative
"AMD, Radeon RX 6600, Far Cry 6, @jeffgrubb",0.0,1.0,0.0,Negative
"AMD, Radeon RX 6600, GPU",1.0,0.0,0.0,Intermediate
"AMD, Radeon RX 6600XT, GPU",0.0,0.0,1.0,Positive
"AMD, Radeon RX 6700 XT",1.0,0.0,0.0,Intermediate
"AMD, Radeon RX, NVIDIA",1.0,0.0,0.0,Intermediate
"AMD, Ryzen 3900X, Newegg",1.0,0.0,0.0,Intermediate
"AMD, Super Resolution",0.0,0.0,3.0,Positive
"AMD, Super Resolution, DLSS, @jeffgrubb",0.0,2.0,0.0,Negative
"AMD, Super Resolution, Nvidia, DLSS",0.0,0.0,1.0,Positive
"AMD, Super Resolution, Unity and Unreal engines",0.0,1.0,0.0,Negative
"AMD, https://t.co/5nLDk0EiNT",1.0,0.0,0.0,Intermediate
ANNO,0.0,0.0,1.0,Positive
ANTHEMS,0.0,0.0,1.0,Positive
ANVIL,1.0,0.0,1.0,Intermediate
AO World,0.0,1.0,0.0,Negative
"AO, https://t.co/iRSlHZ6GzG https://t.co/vvlQofhFLi",0.0,0.0,1.0,Positive
AOC,1.0,1.0,0.0,Intermediate
AR,2.0,0.0,1.0,Intermediate
AR at Resolution Games Magnus Runesson,0.0,1.0,0.0,Negative
"AR, Pokémon",1.0,0.0,0.0,Intermediate
"AR, Pokémon https://t.co/PwjlYQwXX1",1.0,0.0,0.0,Intermediate
"AR, VR",1.0,0.0,0.0,Intermediate
ARC Raiders,1.0,0.0,0.0,Intermediate
"ARC Raiders, PvE",1.0,0.0,0.0,Intermediate
ARPG,0.0,0.0,1.0,Positive
"ARPG, https://t.co/PUp8FbsEOA",1.0,0.0,0.0,Intermediate
ASA,1.0,0.0,0.0,Intermediate
ASMR,1.0,0.0,0.0,Intermediate
ASUS,2.0,0.0,0.0,Intermediate
"ASUS ROG Strix, AMD",0.0,0.0,1.0,Positive
"ASUS, ROG Flow X13, eGPU",1.0,0.0,0.0,Intermediate
"ASUS, ROG Flow Z13, NVIDIA",1.0,0.0,0.0,Intermediate
"ASUS, https://t.co/vuuGhhON8Q",1.0,0.0,0.0,Intermediate
AWD,1.0,0.0,0.0,Intermediate
"Aardman, Wallace &amp",0.0,0.0,1.0,Positive
Abarax https://t.co/cfeKIpKwue https://t.co/JAVR5J7g1w,0.0,0.0,1.0,Positive
AbleGamers,0.0,0.0,1.0,Positive
"AbleGamers, @jeffgrubb",0.0,0.0,1.0,Positive
"AbleGamers, https://t.co/I3u7ImhP8A",0.0,0.0,1.0,Positive
"Absolute Drift, GOG",0.0,0.0,1.0,Positive
Academy,5.0,0.0,6.0,Positive
"Academy, Angry Birds AR",0.0,0.0,1.0,Positive
"Academy, GTR Conference 2021",0.0,0.0,1.0,Positive
"Academy, Streamline Media Group's",0.0,0.0,1.0,Positive
AccelByte,2.0,0.0,0.0,Intermediate
"Ace Attorney, PES, PES - https://t.co/4AjAhHQYoG",0.0,1.0,0.0,Negative
"AceCombat, Pokemon, ILCA",1.0,0.0,0.0,Intermediate
Acer,2.0,0.0,3.0,Positive
"Acer, NVIDIA",1.0,0.0,0.0,Intermediate
"Acer, Predator Orion",2.0,0.0,0.0,Intermediate
"Acer, Windows 11",2.0,0.0,0.0,Intermediate
Achieving Inclusive Game Design,1.0,0.0,0.0,Intermediate
Acitivision,1.0,0.0,0.0,Intermediate
ActRaiser Renaissance's,0.0,1.0,0.0,Negative
"ActRaiser Renaissance, SNES",0.0,0.0,1.0,Positive
"Action, Anime",0.0,0.0,1.0,Positive
Activision,1.0,5.0,4.0,Negative
"Activision
https://t.co/zfDXT3Y4f8",0.0,1.0,0.0,Negative
Activision Blizzard,2.0,3.0,3.0,Negative
"Activision Blizzard #, ActivisionBlizzard https://t.co/JBtKOt3bI7",1.0,0.0,0.0,Intermediate
Activision Blizzard's,0.0,0.0,1.0,Positive
"Activision Blizzard, AAA",0.0,0.0,1.0,Positive
"Activision Blizzard, Kotick",1.0,0.0,0.0,Intermediate
"Activision Blizzard, Microsoft",1.0,0.0,1.0,Intermediate
Activision Blizzard’s,0.0,1.0,0.0,Negative
Activision https://t.co/eHF8PbYCpn https://t.co/eDjhZ8sdpX,0.0,1.0,0.0,Negative
"Activision's Raven, QA, https://t.co/mQQTd9bavm",0.0,1.0,0.0,Negative
"Activision's, Christian Arends",0.0,1.0,0.0,Negative
"Activision, CWA",0.0,0.0,1.0,Positive
"Activision, Call of Duty",0.0,1.0,0.0,Negative
"Activision, DFEH",0.0,1.0,0.0,Negative
"Activision, G https://t.co/7qRMtTVgdg",0.0,0.0,1.0,Positive
"Activision, Game Workers Alliance, National Labor Relations Board",0.0,1.0,0.0,Negative
"Activision, Kotick",1.0,0.0,0.0,Intermediate
ActivisionBlizzard,8.0,9.0,2.0,Negative
"ActivisionBlizzard, Raven Software",0.0,0.0,2.0,Positive
"ActivisionBlizzard, Workplace Responsibility Committee",1.0,0.0,1.0,Intermediate
"Activision‘s, QA Christian Arends",1.0,0.0,0.0,Intermediate
"Actraiser Renaissance, SNES",2.0,0.0,0.0,Intermediate
"Acura, Chiaki",0.0,1.0,0.0,Negative
Admix,2.0,0.0,0.0,Intermediate
Adopt Me,0.0,0.0,1.0,Positive
"Adult Swim, Crunchyroll",1.0,0.0,0.0,Intermediate
"Advant, https://t.co/kpUhf1F07y",0.0,0.0,1.0,Positive
Adventure Time's,0.0,0.0,1.0,Positive
"Aegis, The Angel of Death https://t.co/3ZnalADLMy https://t.co/EbAC0VJ3I6",0.0,1.0,0.0,Negative
Affleck,1.0,0.0,0.0,Intermediate
Affordance Studio,0.0,0.0,1.0,Positive
AfricanGameDev,1.0,0.0,0.0,Intermediate
Agatha Christie,1.0,0.0,1.0,Intermediate
Agora,1.0,0.0,0.0,Intermediate
Ahsoka,0.0,1.0,0.0,Negative
Aiko's Choice,0.0,0.0,1.0,Positive
Airnow,0.0,0.0,1.0,Positive
Akebi,0.0,0.0,1.0,Positive
"Aladdin, The Jungle Book, The Lion King",1.0,0.0,0.0,Intermediate
Alan Wake Remastered,0.0,0.0,1.0,Positive
AleXa,0.0,0.0,2.0,Positive
"AleXa, Sponsored",0.0,0.0,1.0,Positive
Alexa Music Mash,1.0,0.0,0.0,Intermediate
Algernon,0.0,1.0,0.0,Negative
Alice,1.0,0.0,0.0,Intermediate
Alien Isolation,0.0,1.0,0.0,Negative
"Alien Isolation, Happy Home Paradise, GMT",0.0,0.0,1.0,Positive
"Alienware, M15",1.0,0.0,0.0,Intermediate
"Alienware, M15, Dell, G15, AMD Ryzen, https://t.co/Rnp1Yq4Tj9",1.0,0.0,0.0,Intermediate
"Alienware, M15, NVIDIA, https://t.co/R30U52a1rw",1.0,0.0,0.0,Intermediate
"Alienware, Plex",0.0,0.0,1.0,Positive
"Alienware, X14",1.0,0.0,0.0,Intermediate
"Alienware, https://t.co/I5NeOPwPnX",1.0,0.0,0.0,Intermediate
"Alliance, Horde",1.0,0.0,0.0,Intermediate
Aloy - https://t.co/m0B3ME5ZRD,0.0,0.0,1.0,Positive
Alta,3.0,0.0,0.0,Intermediate
"Alta, Unity, Sponsored",2.0,0.0,0.0,Intermediate
Alto's Odyssey’s,0.0,0.0,4.0,Positive
Always Sunny,0.0,1.0,0.0,Negative
"Alx Preston, Solar Ash",0.0,0.0,1.0,Positive
"Alysia Yeoh, HBO, Max, DCEU",0.0,0.0,1.0,Positive
"Alysia Yeoh, https://t.co/dsJ8mIJLHd",1.0,0.0,0.0,Intermediate
Amanita Design's,0.0,1.0,2.0,Positive
Amazon,24.0,12.0,59.0,Positive
Amazon #PrimeGaming,0.0,0.0,2.0,Positive
Amazon Animated TV,0.0,0.0,1.0,Positive
Amazon Black,0.0,0.0,2.0,Positive
Amazon Games,0.0,0.0,7.0,Positive
"Amazon Games Montreal, Ubisoft Toronto",0.0,0.0,1.0,Positive
Amazon Games',0.0,0.0,1.0,Positive
"Amazon Games', New World",0.0,0.0,1.0,Positive
"Amazon Games, New World",1.0,0.0,0.0,Intermediate
"Amazon Games, Smilegate RPG's",0.0,1.0,0.0,Negative
Amazon Games’,0.0,0.0,1.0,Positive
Amazon MMORPG New World,0.0,0.0,3.0,Positive
Amazon Prime - https://t.co/YwKhTglktp https://t.co/glPtB0qTe6,0.0,0.0,1.0,Positive
Amazon Prime Video,0.0,1.0,2.0,Positive
"Amazon Prime Video, https://t.co/tdAvIty1kH",0.0,0.0,1.0,Positive
Amazon Prime’s,0.0,0.0,2.0,Positive
"Amazon Studios, Mass Effect",0.0,0.0,2.0,Positive
"Amazon Studios, Mass Effect, @skrattybones",0.0,0.0,1.0,Positive
"Amazon Studios, Rings",0.0,0.0,1.0,Positive
Amazon USA,0.0,0.0,1.0,Positive
Amazon Web Services,0.0,0.0,1.0,Positive
"Amazon Web Services, Destiny 2, League of Legends, Valorant",0.0,0.0,1.0,Positive
Amazon https://t.co/KeMCb30j71 https://t.co/pJelC1ImX4,0.0,0.0,1.0,Positive
Amazon https://t.co/Zl4mi550K2 https://t.co/maNAymuNDQ,0.0,0.0,1.0,Positive
"Amazon, AAA",0.0,0.0,1.0,Positive
"Amazon, Alexa",0.0,0.0,3.0,Positive
"Amazon, Alexa, Xbox",1.0,0.0,0.0,Intermediate
"Amazon, Amazon Games, @skrattybones",0.0,0.0,1.0,Positive
"Amazon, Amazon, https://t.co/tBcnvOVz6D",0.0,0.0,1.0,Positive
"Amazon, Android",0.0,1.0,1.0,Negative
"Amazon, Animatrix",1.0,0.0,0.0,Intermediate
"Amazon, CPU",0.0,0.0,1.0,Positive
"Amazon, Control Ultimate Edition'",1.0,0.0,0.0,Intermediate
"Amazon, Control Ultimate Edition, https://t.co/WFumpDO0AW",0.0,0.0,1.0,Positive
"Amazon, Diabolical",1.0,0.0,0.0,Intermediate
"Amazon, Fire TV",0.0,1.0,0.0,Negative
"Amazon, IGN",0.0,0.0,1.0,Positive
"Amazon, MMO",2.0,1.0,0.0,Intermediate
"Amazon, MMO New",0.0,0.0,1.0,Positive
"Amazon, MMO New Word",1.0,0.0,0.0,Intermediate
"Amazon, MMO New World",2.0,1.0,3.0,Positive
"Amazon, MMO, New World",1.0,0.0,1.0,Intermediate
"Amazon, Mass Effect TV",0.0,0.0,4.0,Positive
"Amazon, Mass Effect TV, https://t.co/c4RZfe64Mo",0.0,0.0,1.0,Positive
"Amazon, New World",6.0,7.0,8.0,Positive
"Amazon, New World's",0.0,0.0,1.0,Positive
"Amazon, New World, RTX",0.0,1.0,0.0,Negative
"Amazon, New World, https://t.co/iZPgtXy77",1.0,0.0,0.0,Intermediate
"Amazon, NewWorld",0.0,0.0,2.0,Positive
"Amazon, NewWorld, https://t.co/2keh4vvXI1",0.0,1.0,0.0,Negative
"Amazon, Rainbow Six Siege'",0.0,0.0,1.0,Positive
"Amazon, Rings",0.0,0.0,1.0,Positive
"Amazon, Rings, https://t.co/v8lSdQqjKF",0.0,1.0,0.0,Negative
"Amazon, Switch",0.0,0.0,1.0,Positive
"Amazon, TB",0.0,0.0,1.0,Positive
"Amazon, Unity",0.0,0.0,1.0,Positive
"Amazon, Visa",0.0,0.0,3.0,Positive
"Amazon, Visa, https://t.co/TCt69hbL7z",0.0,0.0,1.0,Positive
"Amazon, Westworld’s",2.0,0.0,0.0,Intermediate
"Amazon, Wheel of Time",1.0,0.0,0.0,Intermediate
"Amazon, https://t.co/3CG7GbofLM",0.0,0.0,1.0,Positive
"Amazon, https://t.co/NPoowq8qtE",0.0,0.0,1.0,Positive
"Amazon, https://t.co/nEWVIDILwq",0.0,0.0,1.0,Positive
"Amazon, https://t.co/sgpW87II8A",0.0,0.0,1.0,Positive
"Amazon, https://t.co/zUdkIZMH7I",0.0,0.0,1.0,Positive
"Ambulance, https://t.co/aihYcGK4kl",0.0,0.0,1.0,Positive
"American Evangelicals, Rings",0.0,1.0,0.0,Negative
American Football,0.0,0.0,3.0,Positive
"American McGee’s, Solid Snake",0.0,0.0,1.0,Positive
American Truck Simulator,1.0,0.0,1.0,Intermediate
American Truck Simulator's,0.0,0.0,1.0,Positive
"American Truck Simulator, DLC",1.0,0.0,0.0,Intermediate
"American Truck Simulator, DLC - https://t.co/eYwXnphTr1",1.0,0.0,0.0,Intermediate
American Truck Simulator’s,1.0,0.0,0.0,Intermediate
Amico,1.0,0.0,0.0,Intermediate
Amnesiac,1.0,0.0,0.0,Intermediate
AmyHennig,1.0,0.0,0.0,Intermediate
Anacrusis,2.0,1.0,3.0,Positive
"Anacrusis, TheAnacrusis",0.0,1.0,0.0,Negative
Analogue,4.0,1.0,0.0,Intermediate
Analogue Pocket,1.0,0.0,0.0,Intermediate
Analogue Pocket's,1.0,0.0,0.0,Intermediate
"Analogue Pocket, @jeffgrubb",1.0,0.0,0.0,Intermediate
"Analogue, TurboGrafx",0.0,0.0,1.0,Positive
"Analogue, the Analogue Pocket, Atari Lynx &",0.0,0.0,1.0,Positive
"Anat Shperling, @doubleLoopGames' Founder &",1.0,0.0,0.0,Intermediate
Android,17.0,6.0,4.0,Intermediate
"Android, https://t.co/0CwJAnMOxP",1.0,0.0,0.0,Intermediate
"Android, https://t.co/VKQViC2ozC",1.0,0.0,0.0,Intermediate
"Android, https://t.co/X0ScALqb7s",0.0,1.0,0.0,Negative
Angry Birds AR,1.0,0.0,0.0,Intermediate
"Angry Birds AR, Academy",0.0,0.0,1.0,Positive
"Angry Birds, Rovio",0.0,1.0,0.0,Negative
